TP 	 TN 	 FP 	 FN
0 	 46 	 0 	 1
1 	 29 	 0 	 5
0 	 23 	 1 	 4
4 	 20 	 1 	 11
3 	 23 	 1 	 13
3 	 13 	 5 	 12
2 	 18 	 4 	 7
8 	 9 	 2 	 14
9 	 7 	 8 	 6
21 	 4 	 4 	 4
0 	 39 	 0 	 5
3 	 27 	 0 	 8
1 	 20 	 1 	 8
2 	 17 	 1 	 17
2 	 19 	 2 	 8
7 	 17 	 5 	 8
8 	 13 	 6 	 9
12 	 8 	 11 	 5
11 	 9 	 14 	 0
26 	 1 	 9 	 1
1 	 44 	 0 	 1
7 	 23 	 7 	 4
5 	 21 	 6 	 5
10 	 20 	 8 	 3
13 	 14 	 11 	 2
12 	 9 	 16 	 1
16 	 6 	 17 	 2
21 	 8 	 8 	 2
31 	 1 	 8 	 0
29 	 2 	 10 	 0
0 	 47 	 0 	 0
0 	 43 	 2 	 0
0 	 37 	 3 	 2
0 	 32 	 2 	 1
0 	 30 	 7 	 1
1 	 20 	 6 	 4
1 	 20 	 5 	 3
1 	 17 	 16 	 1
1 	 13 	 11 	 1
4 	 7 	 15 	 0
0 	 47 	 0 	 0
0 	 42 	 1 	 2
0 	 43 	 1 	 1
1 	 38 	 3 	 1
0 	 40 	 2 	 2
1 	 42 	 1 	 3
2 	 33 	 3 	 3
2 	 37 	 1 	 5
2 	 26 	 8 	 4
9 	 17 	 10 	 4
0 	 40 	 0 	 1
9 	 8 	 4 	 7
4 	 15 	 11 	 5
14 	 4 	 10 	 3
8 	 13 	 12 	 2
10 	 10 	 12 	 3
17 	 4 	 7 	 2
10 	 4 	 15 	 2
21 	 4 	 10 	 0
35 	 1 	 6 	 1
