0 	 645702 	 0 	 14037
0 	 378999 	 28074 	 84222
0 	 336888 	 0 	 56148
0 	 280740 	 14037 	 210555
14037 	 294777 	 42111 	 210555
70185 	 238629 	 14037 	 140370
14037 	 266703 	 42111 	 112296
84222 	 126333 	 28074 	 224592
112296 	 126333 	 84222 	 98259
140370 	 84222 	 28074 	 210555
0 	 547443 	 0 	 70185
0 	 350925 	 28074 	 154407
0 	 266703 	 28074 	 126333
70185 	 182481 	 70185 	 196518
14037 	 238629 	 56148 	 126333
84222 	 238629 	 70185 	 126333
70185 	 154407 	 112296 	 168444
126333 	 182481 	 84222 	 112296
112296 	 154407 	 168444 	 42111
294777 	 14037 	 126333 	 84222
0 	 617628 	 0 	 28074
14037 	 421110 	 0 	 140370
14037 	 378999 	 0 	 126333
42111 	 364962 	 28074 	 140370
28074 	 280740 	 70185 	 182481
28074 	 224592 	 126333 	 154407
56148 	 238629 	 84222 	 196518
140370 	 168444 	 56148 	 182481
224592 	 70185 	 56148 	 210555
350925 	 84222 	 84222 	 56148
0 	 659739 	 0 	 0
0 	 631665 	 0 	 0
0 	 505332 	 56148 	 28074
0 	 463221 	 14037 	 14037
0 	 477258 	 42111 	 14037
14037 	 336888 	 28074 	 56148
0 	 336888 	 14037 	 56148
14037 	 350925 	 112296 	 14037
0 	 238629 	 98259 	 28074
56148 	 140370 	 168444 	 0
0 	 659739 	 0 	 0
0 	 603591 	 0 	 28074
0 	 617628 	 0 	 14037
0 	 547443 	 28074 	 28074
0 	 547443 	 42111 	 28074
14037 	 575517 	 28074 	 42111
0 	 421110 	 84222 	 70185
14037 	 491295 	 42111 	 84222
28074 	 336888 	 140370 	 56148
98259 	 168444 	 210555 	 84222
0 	 561480 	 0 	 14037
0 	 168444 	 0 	 224592
0 	 350925 	 14037 	 126333
70185 	 182481 	 14037 	 168444
14037 	 308814 	 42111 	 126333
28074 	 280740 	 28074 	 154407
56148 	 140370 	 14037 	 210555
42111 	 252666 	 14037 	 126333
140370 	 140370 	 56148 	 154407
421110 	 56148 	 42111 	 84222
