0 	 645702 	 0 	 14037
0 	 364962 	 42111 	 84222
14037 	 336888 	 0 	 42111
28074 	 266703 	 28074 	 182481
42111 	 252666 	 84222 	 182481
98259 	 182481 	 70185 	 112296
56148 	 210555 	 98259 	 70185
140370 	 98259 	 56148 	 168444
126333 	 126333 	 84222 	 84222
210555 	 56148 	 56148 	 140370
0 	 547443 	 0 	 70185
42111 	 322851 	 56148 	 112296
42111 	 224592 	 70185 	 84222
112296 	 154407 	 98259 	 154407
98259 	 210555 	 84222 	 42111
112296 	 182481 	 126333 	 98259
98259 	 84222 	 182481 	 140370
154407 	 140370 	 126333 	 84222
140370 	 112296 	 210555 	 14037
350925 	 14037 	 126333 	 28074
14037 	 617628 	 0 	 14037
42111 	 393036 	 28074 	 112296
56148 	 336888 	 42111 	 84222
84222 	 336888 	 56148 	 98259
84222 	 168444 	 182481 	 126333
70185 	 168444 	 182481 	 112296
168444 	 196518 	 126333 	 84222
224592 	 154407 	 70185 	 98259
308814 	 42111 	 84222 	 126333
364962 	 56148 	 112296 	 42111
0 	 659739 	 0 	 0
0 	 575517 	 56148 	 0
14037 	 463221 	 98259 	 14037
0 	 407073 	 70185 	 14037
0 	 378999 	 140370 	 14037
28074 	 252666 	 112296 	 42111
14037 	 196518 	 154407 	 42111
14037 	 210555 	 252666 	 14037
28074 	 154407 	 182481 	 0
56148 	 98259 	 210555 	 0
0 	 659739 	 0 	 0
0 	 589554 	 14037 	 28074
0 	 589554 	 28074 	 14037
0 	 519369 	 56148 	 28074
14037 	 533406 	 56148 	 14037
42111 	 533406 	 70185 	 14037
14037 	 421110 	 84222 	 56148
28074 	 393036 	 140370 	 70185
28074 	 294777 	 182481 	 56148
140370 	 154407 	 224592 	 42111
0 	 561480 	 0 	 14037
42111 	 154407 	 14037 	 182481
14037 	 322851 	 42111 	 112296
126333 	 168444 	 28074 	 112296
14037 	 280740 	 70185 	 126333
56148 	 266703 	 42111 	 126333
98259 	 112296 	 42111 	 168444
70185 	 238629 	 28074 	 98259
210555 	 112296 	 84222 	 84222
449184 	 42111 	 56148 	 56148
