TP 	 TN 	 FP 	 FN
0 	 645702 	 0 	 14037
14037 	 407073 	 0 	 70185
0 	 322851 	 14037 	 56148
56148 	 280740 	 14037 	 154407
42111 	 322851 	 14037 	 182481
42111 	 182481 	 70185 	 168444
28074 	 252666 	 56148 	 98259
112296 	 126333 	 28074 	 196518
126333 	 98259 	 112296 	 84222
294777 	 56148 	 56148 	 56148
0 	 547443 	 0 	 70185
42111 	 378999 	 0 	 112296
14037 	 280740 	 14037 	 112296
28074 	 238629 	 14037 	 238629
28074 	 266703 	 28074 	 112296
98259 	 238629 	 70185 	 112296
112296 	 182481 	 84222 	 126333
168444 	 112296 	 154407 	 70185
154407 	 126333 	 196518 	 0
364962 	 14037 	 126333 	 14037
14037 	 617628 	 0 	 14037
98259 	 322851 	 98259 	 56148
70185 	 294777 	 84222 	 70185
140370 	 280740 	 112296 	 42111
182481 	 196518 	 154407 	 28074
168444 	 126333 	 224592 	 14037
224592 	 84222 	 238629 	 28074
294777 	 112296 	 112296 	 28074
435147 	 14037 	 112296 	 0
407073 	 28074 	 140370 	 0
0 	 659739 	 0 	 0
0 	 603591 	 28074 	 0
0 	 519369 	 42111 	 28074
0 	 449184 	 28074 	 14037
0 	 421110 	 98259 	 14037
14037 	 280740 	 84222 	 56148
14037 	 280740 	 70185 	 42111
14037 	 238629 	 224592 	 14037
14037 	 182481 	 154407 	 14037
56148 	 98259 	 210555 	 0
0 	 659739 	 0 	 0
0 	 589554 	 14037 	 28074
0 	 603591 	 14037 	 14037
14037 	 533406 	 42111 	 14037
0 	 561480 	 28074 	 28074
14037 	 589554 	 14037 	 42111
28074 	 463221 	 42111 	 42111
28074 	 519369 	 14037 	 70185
28074 	 364962 	 112296 	 56148
126333 	 238629 	 140370 	 56148
0 	 561480 	 0 	 14037
126333 	 112296 	 56148 	 98259
56148 	 210555 	 154407 	 70185
196518 	 56148 	 140370 	 42111
112296 	 182481 	 168444 	 28074
140370 	 140370 	 168444 	 42111
238629 	 56148 	 98259 	 28074
140370 	 56148 	 210555 	 28074
294777 	 56148 	 140370 	 0
491295 	 14037 	 84222 	 14037
